"","hhid","exinc","inc","age","gender","nmembers","nkids","college","working","year"
"10254",60564,0,22235.111,47,0,1,0,0,1,2018
"10805",64098,29206.586,29764.674,33,1,3,0,0,1,2020
"11036",66021,17675.742,20316.943,25,0,2,0,1,0,2013
"1952",12442,18533.943,23948.355,64,0,2,0,0,0,2012
"13414",82037,64866.059,60087.434,48,0,2,0,0,1,2020
"11651",69969,42600,23000,34,0,2,0,0,1,2015
"6244",32666,5278.4224,3866.9761,23,1,1,0,1,0,2018
"7810",43562,49111.711,26416.146,43,0,1,0,0,1,2020
"11807",71341,659.38208,3767.8975,54,0,1,0,1,0,2019
"6",6,24023.588,23826.373,62,0,2,0,0,0,2018
"9176",53350,103488.74,120025.6,48,1,3,1,1,1,2011
"1015",9329,1483.137,23364.486,66,1,1,0,0,0,2013
"12756",77729,28462.469,27439.309,59,0,3,1,0,1,2020
"3626",14331,35398.23,28912.488,67,0,1,0,1,0,2017
"9308",54165,1836.8136,17401.393,72,1,1,0,0,0,2018
"7701",42842,29904.307,24920.256,56,0,3,1,1,0,2016
"8370",47646,22551.809,23364.486,46,0,2,1,0,1,2013
"5298",25998,995.74634,3866.9761,23,1,1,0,0,0,2018
"8725",50321,23975.252,21875.482,71,0,2,0,0,0,2018
"13754",84635,30246.797,29389.602,68,1,2,0,0,0,2019
"10769",63857,23742.455,23138.832,35,0,4,2,0,1,2014
"3788",15396,40061.871,42536.734,49,1,3,1,1,1,2018
"13497",82624,89299.172,58873.398,52,1,4,2,0,0,2019
"11718",70479,23525.02,34140.617,36,1,3,1,1,1,2011
"10662",63168,26281.086,11303.692,26,1,1,0,0,0,2019
"12660",77064,40461.352,29764.674,61,1,1,0,0,1,2020
"10441",61801,37019.594,39562.926,57,1,2,0,0,1,2019
"14487",89972,43794,2700,28,0,3,1,0,1,2015
"4219",18394,53558.094,49610.582,66,0,2,0,0,0,2011
"9273",53879,24582.104,23817.109,73,0,2,0,0,0,2017
"8294",47009,30237.377,31162.396,80,0,1,0,1,0,2019
